topNum,CDAG,CloAct
1,0.037037037,0.037037037
2,0.074074074,0.074074075
3,0.111111111,0.111111112
4,0.148148148,0.148148149
5,0.185185185,0.185185179
6,0.222222222,0.222222224
7,0.259259259,0.259259254
8,0.296296296,0.296296299
9,0.333333333,0.333333343
10,0.333333333,0.370370358
11,0.37037037,0.370370358
12,0.407407407,0.370370358
13,0.444444444,0.407407403
14,0.444444444,0.407407403
15,0.444444444,0.407407403
16,0.444444444,0.444444448
17,0.444444444,0.444444448
18,0.444444444,0.444444448
19,0.444444444,0.481481493
20,0.481481481,0.481481493
21,0.518518519,0.481481493
22,0.518518519,0.481481493
23,0.518518519,0.518518507
24,0.518518519,0.518518507
25,0.555555556,0.518518507
