topNum,CDAG,CloAct
1,0.083333333,0.083333336
2,0.166666667,0.166666672
3,0.25,0.25
4,0.333333333,0.333333343
5,0.416666667,0.333333343
6,0.5,0.333333343
7,0.5,0.416666657
8,0.5,0.5
9,0.5,0.5
10,0.583333333,0.583333313
11,0.666666667,0.583333313
12,0.666666667,0.583333313
13,0.666666667,0.583333313
14,0.666666667,0.583333313
15,0.666666667,0.666666687
16,0.666666667,0.666666687
17,0.75,0.666666687
18,0.75,0.666666687
19,0.75,0.75
20,0.75,0.75
21,0.75,0.75
22,0.833333333,0.75
23,0.833333333,0.75
24,0.833333333,0.75
25,0.833333333,0.75
