topNum,CDAG,CloAct
1,0.111111111,0.111111112
2,0.222222222,0.111111112
3,0.222222222,0.222222224
4,0.333333333,0.222222224
5,0.444444444,0.222222224
6,0.444444444,0.222222224
7,0.444444444,0.222222224
8,0.444444444,0.222222224
9,0.555555556,0.222222224
10,0.555555556,0.222222224
11,0.555555556,0.222222224
12,0.666666667,0.333333343
13,0.666666667,0.333333343
14,0.666666667,0.444444448
15,0.666666667,0.555555582
16,0.666666667,0.555555582
17,0.666666667,0.555555582
18,0.777777778,0.555555582
19,0.777777778,0.555555582
20,0.777777778,0.555555582
21,0.777777778,0.555555582
22,0.777777778,0.666666687
23,0.777777778,0.666666687
24,0.777777778,0.777777791
25,0.777777778,0.777777791
