topNum,CDAG,CloAct
1,0.142857143,0.142857149
2,0.285714286,0.285714298
3,0.285714286,0.285714298
4,0.428571429,0.428571433
5,0.428571429,0.428571433
6,0.428571429,0.571428597
7,0.571428571,0.571428597
8,0.571428571,0.571428597
9,0.571428571,0.571428597
10,0.571428571,0.571428597
11,0.571428571,0.714285731
12,0.571428571,0.714285731
13,0.571428571,0.857142866
14,0.571428571,0.857142866
15,0.571428571,0.857142866
16,0.571428571,0.857142866
17,0.714285714,0.857142866
18,0.714285714,0.857142866
19,0.714285714,0.857142866
20,0.714285714,0.857142866
21,0.714285714,0.857142866
22,0.714285714,0.857142866
23,0.714285714,0.857142866
24,0.857142857,0.857142866
25,0.857142857,0.857142866
