topNum,CDAG,CloAct
1,0.071428571,0.071428575
2,0.071428571,0.071428575
3,0.071428571,0.071428575
4,0.071428571,0.071428575
5,0.142857143,0.071428575
6,0.142857143,0.071428575
7,0.142857143,0.071428575
8,0.142857143,0.071428575
9,0.214285714,0.142857149
10,0.214285714,0.214285716
11,0.214285714,0.214285716
12,0.214285714,0.214285716
13,0.214285714,0.214285716
14,0.285714286,0.285714298
15,0.285714286,0.357142866
16,0.357142857,0.357142866
17,0.357142857,0.357142866
18,0.357142857,0.357142866
19,0.428571429,0.357142866
20,0.428571429,0.357142866
21,0.428571429,0.357142866
22,0.428571429,0.357142866
23,0.428571429,0.357142866
24,0.428571429,0.357142866
25,0.428571429,0.357142866
